Tensors_:0,Tensors_:1,Tensors_:2,Tensors_:3,Tensors_:4,Tensors_:5,Tensors_:6,Tensors_:7,Tensors_:8,Points:0,Points:1,Points:2
0.4999971,8.412607e-07,1.6078036e-06,8.412607e-07,0.5000006,-6.54333e-06,1.6078036e-06,-6.54333e-06,0.5000023,19,12,0
0.49977726,1.6286465e-05,0.00021985207,1.6286465e-05,0.4999924,-0.00047056805,0.00021985207,-0.00047056805,0.5002303,20,12,0
0.49268037,-0.0006348124,0.011979297,-0.0006348124,0.49739733,-0.015320615,0.011979297,-0.015320615,0.5099223,21,12,0
0.45360363,-0.008468694,0.13362688,-0.008468694,0.4584013,-0.10361758,0.13362688,-0.10361758,0.58799505,22,12,0
0.4554536,-0.0048852204,0.2952369,-0.0048852204,0.3972339,-0.12761998,0.2952369,-0.12761998,0.6473125,23,12,0
0.61805284,0.09031042,0.32295328,0.09031042,0.4315457,0.08368969,0.32295328,0.08368969,0.45040146,26,12,0
0.6843154,0.13372527,0.2496358,0.13372527,0.459539,0.1471321,0.2496358,0.1471321,0.35614562,27,12,0
0.7127919,0.20865032,0.12283827,0.20865032,0.4762125,0.1749038,0.12283827,0.1749038,0.31099558,28,12,0
0.6669245,0.28760555,0.008478751,0.28760555,0.5093563,0.133034,0.008478751,0.133034,0.32371923,29,12,0
0.462704,0.26164657,-0.14015609,0.26164657,0.57464486,-0.09077165,-0.14015609,-0.09077165,0.46265113,32,12,0
0.4916856,0.020820295,-0.014821898,0.020820295,0.50490457,-0.012791575,-0.014821898,-0.012791575,0.5034098,33,12,0
0.4999961,5.170712e-06,-4.6702207e-06,5.170712e-06,0.50000036,-4.5694037e-06,-4.6702207e-06,-4.5694037e-06,0.5000035,34,12,0
0.49999994,2.257503e-08,2.6373524e-08,2.257503e-08,0.5,-1.0823617e-07,2.6373524e-08,-1.0823617e-07,0.50000006,20,13,0
0.49994835,1.0073342e-05,4.3425145e-05,1.0073342e-05,0.4999835,-8.208876e-05,4.3425145e-05,-8.208876e-05,0.5000682,21,13,0
0.49246603,0.00083444675,0.010241557,0.00083444675,0.49559462,-0.01046286,0.010241557,-0.01046286,0.51193935,22,13,0
0.4242614,0.01220347,0.16357423,0.01220347,0.4280884,-0.0867344,0.16357423,-0.0867344,0.64765024,23,13,0
0.4172338,0.03951501,0.30155218,0.03951501,0.37799218,-0.059878953,0.30155218,-0.059878953,0.704774,24,13,0
0.45833632,0.07145864,0.3276567,0.07145864,0.39447644,0.01632331,0.3276567,0.01632331,0.64718723,25,13,0
0.6382271,0.18104897,0.1883291,0.18104897,0.5238832,0.19691363,0.1883291,0.19691363,0.3378897,28,13,0
0.62046033,0.26842424,0.046518084,0.26842424,0.5551435,0.17773688,0.046518084,0.17773688,0.3243962,29,13,0
0.4749257,0.32229343,-0.088218264,0.32229343,0.64621246,-0.0019465034,-0.088218264,-0.0019465034,0.37886187,31,13,0
0.41852906,0.2959493,-0.12622985,0.2959493,0.6516015,-0.08797867,-0.12622985,-0.08797867,0.42986944,32,13,0
0.44048357,0.11606218,-0.06891355,0.11606218,0.55707854,-0.070426404,-0.06891355,-0.070426404,0.5024379,33,13,0
0.4996284,0.00044077553,-0.00034342753,0.00044077553,0.5001583,-0.0004113959,-0.00034342753,-0.0004113959,0.50021327,34,13,0
0.49993408,1.47453e-05,4.882782e-05,1.47453e-05,0.49997172,-7.20678e-05,4.882782e-05,-7.20678e-05,0.5000942,22,14,0
0.48006073,0.004037662,0.022784974,0.004037662,0.48738188,-0.015716396,0.022784974,-0.015716396,0.53255737,23,14,0
0.36649144,0.042361397,0.21975283,0.042361397,0.39168435,-0.050561752,0.21975283,-0.050561752,0.7418242,24,14,0
0.37525898,0.076228105,0.28705058,0.076228105,0.39079717,0.024868723,0.28705058,0.024868723,0.7339438,25,14,0
0.40857205,0.10839785,0.30119932,0.10839785,0.43668643,0.096812,0.30119932,0.096812,0.6547415,26,14,0
0.4539168,0.1337816,0.29468656,0.1337816,0.50405204,0.15267272,0.29468656,0.15267272,0.54203117,27,14,0
0.48865378,0.29844314,-0.018663147,0.29844314,0.65798354,0.13148522,-0.018663147,0.13148522,0.35336268,30,14,0
0.41962862,0.30464226,-0.06326609,0.30464226,0.7064448,0.02652791,-0.06326609,0.02652791,0.37392655,31,14,0
0.37128973,0.28216934,-0.09765648,0.28216934,0.7173856,-0.070546284,-0.09765648,-0.070546284,0.4113247,32,14,0
0.35869363,0.20576032,-0.10360063,0.20576032,0.6603585,-0.12616515,-0.10360063,-0.12616515,0.48094785,33,14,0
0.4930277,0.0068924725,-0.004696007,0.0068924725,0.5046179,-0.0069471407,-0.004696007,-0.0069471407,0.5023543,34,14,0
0.49999967,2.1773079e-07,-1.9108799e-07,2.1773079e-07,0.50000006,-3.0636923e-07,-1.9108799e-07,-3.0636923e-07,0.50000024,35,14,0
0.49999997,1.022162e-08,1.4150477e-08,1.022162e-08,0.5,-3.465408e-08,1.4150477e-08,-3.465408e-08,0.50000006,22,15,0
0.49925452,0.00015448761,0.0004945788,0.00015448761,0.4996541,-0.00048318028,0.0004945788,-0.00048318028,0.50109136,23,15,0
0.41059414,0.021549173,0.08454392,0.021549173,0.44816914,-0.024471534,0.08454392,-0.024471534,0.6412367,24,15,0
0.3108056,0.07073204,0.23219626,0.07073204,0.39185748,0.033047568,0.23219626,0.033047568,0.79733694,25,15,0
0.33102173,0.099829614,0.25365075,0.099829614,0.4373241,0.11234987,0.25365075,0.11234987,0.73165417,26,15,0
0.3587676,0.12480097,0.25952876,0.12480097,0.51127267,0.16907969,0.25952876,0.16907969,0.6299597,27,15,0
0.41839474,0.13451117,0.24607232,0.13451117,0.5938578,0.20867616,0.24607232,0.20867616,0.48774746,28,15,0
0.4341882,0.26497298,-0.013545367,0.26497298,0.7024342,0.16618548,-0.013545367,0.16618548,0.36337763,30,15,0
0.3611942,0.27165282,-0.046305023,0.27165282,0.7614167,0.05235468,-0.046305023,0.05235468,0.37738913,31,15,0
0.32186744,0.25095338,-0.07269485,0.25095338,0.77667016,-0.0523834,-0.07269485,-0.0523834,0.40146244,32,15,0
0.298648,0.2124466,-0.09266494,0.2124466,0.7430966,-0.13795339,-0.09266494,-0.13795339,0.4582554,33,15,0
0.46000105,0.031011883,-0.018818248,0.031011883,0.5326522,-0.035327017,-0.018818248,-0.035327017,0.50734675,34,15,0
0.49998608,7.65168e-06,-6.1098717e-06,7.65168e-06,0.50000584,-1.2667464e-05,-6.1098717e-06,-1.2667464e-05,0.50000805,35,15,0
0.49999323,1.288961e-06,2.5804504e-06,1.288961e-06,0.4999977,-3.953841e-06,2.5804504e-06,-3.953841e-06,0.50000906,23,16,0
0.47655475,0.0042813146,0.013328558,0.0042813146,0.48938218,-0.0054557165,0.013328558,-0.0054557165,0.53406304,24,16,0
0.27723366,0.055076625,0.16289279,0.055076625,0.40181026,0.03638849,0.16289279,0.03638849,0.8209561,25,16,0
0.27244234,0.081803665,0.19542284,0.081803665,0.43944427,0.12604028,0.19542284,0.12604028,0.7881134,26,16,0
0.2873858,0.10385008,0.20484976,0.10385008,0.51632875,0.18775524,0.20484976,0.18775524,0.6962855,27,16,0
0.3195306,0.11270977,0.20998107,0.11270977,0.61000335,0.21996988,0.20998107,0.21996988,0.57046604,28,16,0
0.4428298,0.11838622,0.15594307,0.11838622,0.6769858,0.25921494,0.15594307,0.25921494,0.3801844,29,16,0
0.38199368,0.22149289,-0.020510482,0.22149289,0.7402207,0.1929671,-0.020510482,0.1929671,0.37778562,30,16,0
0.30385068,0.22390532,-0.035449117,0.22390532,0.809105,0.07224999,-0.035449117,0.07224999,0.38704437,31,16,0
0.2749076,0.20469986,-0.05175687,0.20469986,0.8272128,-0.036571834,-0.05175687,-0.036571834,0.3978796,32,16,0
0.25761205,0.1771563,-0.06880828,0.1771563,0.79854923,-0.13230142,-0.06880828,-0.13230142,0.4438387,33,16,0
0.39558282,0.059209056,-0.032676492,0.059209056,0.59504896,-0.08236625,-0.032676492,-0.08236625,0.5093682,34,16,0
0.49982512,7.330408e-05,-5.420879e-05,7.330408e-05,0.50009435,-0.00015313417,-5.420879e-05,-0.00015313417,0.5000805,35,16,0
0.49999994,7.042516e-09,9.523506e-09,7.042516e-09,0.5,-2.6028303e-08,9.523506e-09,-2.6028303e-08,0.50000006,23,17,0
0.49621704,0.00047525804,0.0012286829,0.00047525804,0.49859458,-0.00082022656,0.0012286829,-0.00082022656,0.50518835,24,17,0
0.29103088,0.032325376,0.08844167,0.032325376,0.42270333,0.032357663,0.08844167,0.032357663,0.7862658,25,17,0
0.23180343,0.057612125,0.13194272,0.057612125,0.44205913,0.13569392,0.13194272,0.13569392,0.8261374,26,17,0
0.23824248,0.07384991,0.1403922,0.07384991,0.5202477,0.20300059,0.1403922,0.20300059,0.74150985,27,17,0
0.2513052,0.08217754,0.14845347,0.08217754,0.6190916,0.2340811,0.14845347,0.2340811,0.6296032,28,17,0
0.33574745,0.066219345,0.16228367,0.066219345,0.7077742,0.25151032,0.16228367,0.25151032,0.45647833,29,17,0
0.32836106,0.17021318,-0.036907643,0.17021318,0.77239573,0.20678407,-0.036907643,0.20678407,0.3992432,30,17,0
