"V:0","V:1","V:2","Points:0","Points:1","Points:2"
-3.4641,-19.646,6.0993e-24,-3.7521,0.6616,-1
-2.1825,-15.679,-10.821,-4.1342,0.72898,-1
1.5061e-13,-19.949,6.0993e-24,-3.81,-2.8764e-14,-1
0.57322,-15.819,-10.821,-4.198,-1.367e-14,-1
3.4641,-19.646,6.0993e-24,-3.7521,-0.6616,-1
3.3115,-15.479,-10.821,-4.1342,-0.72898,-1
6.823,-18.746,6.0993e-24,-3.5802,-1.3031,-1
5.9492,-14.669,-10.822,-3.9448,-1.4358,-1
9.9746,-17.276,6.0993e-24,-3.2996,-1.905,-1
8.4063,-13.413,-10.822,-3.6356,-2.099,-1
12.823,-15.282,6.0993e-24,-2.9186,-2.449,-1
10.608,-11.75,-10.822,-3.2159,-2.6984,-1
15.282,-12.823,6.0993e-24,-2.449,-2.9186,-1
12.488,-9.7298,-10.821,-2.6984,-3.2159,-1
17.276,-9.9746,6.0993e-24,-1.905,-3.2996,-1
13.987,-7.4137,-10.821,-2.099,-3.6356,-1
18.746,-6.823,6.0993e-24,-1.3031,-3.5802,-1
15.062,-4.8722,-10.821,-1.4358,-3.9448,-1
19.646,-3.4641,6.0993e-24,-0.6616,-3.7521,-1
19.949,0,6.0993e-24,0,-3.81,-1
-7.2141,-3.1869,-20.105,-1.7012,4.674,-1
-6.5509,-4.3913,-20.106,-2.487,4.3076,-1
-5.689,-5.4624,-20.106,-3.1972,3.8103,-1
-4.6545,-6.3678,-20.107,-3.8103,3.1972,-1
-3.4783,-7.0798,-20.107,-4.3076,2.487,-1
-2.1963,-7.5765,-20.106,-4.674,1.7012,-1
-0.84734,-7.8426,-20.106,-4.8984,0.86373,-1
0.52734,-7.8702,-20.105,-4.974,6.1756e-14,-1
1.8859,-7.6587,-20.106,-4.8984,-0.86373,-1
3.1872,-7.2147,-20.106,-4.674,-1.7012,-1
4.3919,-6.5518,-20.107,-4.3076,-2.487,-1
5.4633,-5.6902,-20.107,-3.8103,-3.1972,-1
6.369,-4.6555,-20.107,-3.1972,-3.8103,-1
7.0809,-3.479,-20.106,-2.487,-4.3076,-1
7.5773,-2.1967,-20.105,-1.7012,-4.674,-1
-10.801,-4.6927,-18.004,-1.5685,4.3094,-1
